职业代码,职业名称,职业说明,职业任务
1-03-00-02,工商联负责人,在中华全国工商业联合会各级组织机构中，担任领导职务并具有决策、管理职权的人员。,"['参与国家大政方针及政治、经济、社会生活中的重要问题的政治协商;', '引导会员积极参加国家经济建设;', '负责管理联合会所办企业和事业;', '承办政府和有关部门的委托事项.']"
1-04,人民团体和群众团体、社会组织及其他成员组织负责人,在人民团体和群众团体、社会团体、民办非企业单位、社会中介组织、基金会、宗教组织中，担任领导职务，具有决策和管理职权的人员.,
1-04-01,人民团体和群众团体负责人,在人民团体和群众团体中，担任领导职务并具有决策、管理职权的人员.,
1-04-02,社会团体负责人,在社会团体中，担任领导职务并具有决策、管理职权的人员.,
1-04-01,人民团体和群众团体负责人,在中华全国总工会、中国共产主义青年团、中华全国妇女联合会等人民团体和群众团体各级组织及其机构中，担任领导职务并具有决策、管理职权的人员。,[]
1-04-01-01,工会负责人,在中华全国总工会各级组织及其工作机构中，担任领导职务的专职人员。,"['根据中国共产党的路线、方针、政策，组织拟定工会工作的指导方针、任务和目标。', '依照法律和章程独立自主地开展工作，在突出履行“维护”职能的同时，履行“建设、参与、教育”等社会职能。', '在管理国家和社会事务中发挥民主参与和民主监督作用，组织职工对企事业单位实行民主管理。', '参与涉及职工利益的有关法律、法规、政策、措施和制度的制定，维护职工合法权益。', '组织调查研究有关职工利益的重大问题，提出意见和建议，向党和政府有关部门及上级工会报告。', '负责对工会经费的管理和审查审计等工作。']"
1-04-01-02,共青团负责人,在中国共产主义青年团各级组织及其工作机构中，担任领导职务的专职人员。,"['根据中国共产党的路线、方针、政策，组织拟定共青团工作的指导方针、任务和目标。', '宣传、贯彻执行中国共产党的路线、方针、政策，发挥共青团作为党联系青年的桥梁和纽带作用，团结带领广大青年投身建设有中国特色社会主义实践，参与国家和社会事务的民主管理和监督工作。', '加强共青团思想、组织和作风建设，根据民主集中制原则，定期召开共青团的委员会会议，集体讨论重大问题，领导青联、学联和少先队工作。', '调查青年思想、工作、发展状况，代表和维护青少年的合法权益。']"
1-04-01-03,妇联负责人,在中华全国妇女联合会各级组织及其工作机构中，担任领导职务的专职人员。,"['根据中国共产党的路线、方针、政策和党中央决策部署，组织制定妇联工作的指导方针、目标和任务。', '履行党和政府引领服务联系妇女群体的职能，维护妇女的合法权益。']"
1-04-03,民办非企业单位负责人,,[]
1-04-04,社会中介组织负责人,,[]
1-04-05,基金会负责人,,[]
1-04-06,宗教组织负责人,,[]
1-04-01-04,其他人民团体和群众团体负责人,在文联、作协、科协、侨联、法学会、对外友协、记协、台联、贸促会、残联、红十字会、外交学会、宋庆龄基金会、黄埔同学会、欧美同学会、中国政研会、中华职教社、中国计生协等人民团体和群众团体各级机构中，担任领导职务并具有决策、管理权的人员。,"['参与妇女儿童和家庭工作重大问题决策，向党和政府及有关部门提出意见和建议。', '代表和组织妇女参与国家和社会事务管理和民主监督等工作，代表妇女参与有关法律法规和政策制定。', '组织妇女儿童发展和权益保障状况及其重大问题研究，协助有关部门开展妇女儿童和家庭工作。', '承办党和政府及有关部门委托的其他事项。']"
1-04-02-00,社会团体负责人,在学术性、联合性、经济性、慈善性社会团体和专业性学术团体中，担任领导职务的人员。,"['召集和主持理事会或常务理事会。', '代表常务理事会做年度工作报告。', '推荐秘书长候选人，根据工作需要，核定秘书长聘请的工作人员和办事机构。', '聘任社团顾问和专务理事。', '检查会员大会或会员代表大会、理事会或常务理事会决议的落实情况。', '代表社团签署有关重要文件。', '参与研究和制定工作方针。', '行使章程和理事会赋予的其他职权。']"
1-04-03-00,民办非企业单位负责人,在企事业单位、社会团体和其他社会力量以及公民个人利用非国有资产举办的从事非营利性社会服务活动的社会组织中，担任领导职务的人员。,"['负责非营利性社会服务活动的组织与管理。', '行使章程规定的其他职权。']"
1-04-04-00,社会中介组织负责人,在依法成立的提供服务、沟通、公证和部分监督性质社会管理工作的非政府社会组织中，担任领导职务的人员。,[]
1-04-04-00,社会中介组织负责人,"在依法成立的提供服务、沟通、公证和部分监督性质社会管理工作的非政府社会组织中, 担任领导职务的人员。",[]
1-04-05-00,基金会负责人,"在利用捐赠的财产从事公益事业的非营利性法人机构中, 担任领导职务的人员。","['召集和主持理事会会议', '组织实施和检查理事会决议的落实情况', '代表基金会签署重要文件', '拟定基金会内部管理规章制度并报理事会审批', '拟定基金会公益活动计划, 资金筹集、管理和使用计划', '提议聘任或解聘有关工作人员并报理事会决定', '章程和理事会赋予的其他工作任务']"
1-04-06-00,宗教组织负责人,"在佛教、道教、伊斯兰教、天主教、基督教等宗教组织中, 担任领导职务的人员。","['负责宗教组织中宗教事务的组织与管理', '行使宗教管理相关法律规定的其他职权']"
1-05-00,基层群众性自治组织负责人,"在居民委员会和村民委员会中, 担任领导职务的人员。",[]
1-05-00-01,居民委员会负责人,"在居民委员会中, 担任领导职务的人员。","['依法负责居民委员会日常管理工作', '行使法律规定的其他职权']"
1-05-00-02,村民委员会负责人,"在村民委员会中, 担任领导职务的人员。",[]
1-05-00-02,村民委员会负责人,在村民委员会中，担任领导职务的人员。,"['依法负责村民委员会日常管理工作', '行使法律规定的其他职权']"
1-06(GBM 10600),企事业单位负责人,在企业和教育、科技、文化、卫生等事业单位中，担任领导职务，具有决策和管理职权的人员。,[]
1-06-01(GBM 10601),企业负责人,在企业中，担任领导职务并具有决策、管理职权的人员。,[]
1-06-01-01,企业董事,在企业中，具有最高决策权的董事会组成人员。,"['负责召集股东大会，向股东大会报告工作，执行股东大会决议', '决定企业经营计划和投资方案', '审定企业年度财务预决算方案、利润分配方案和弥补亏损方案，增加或减少注册资本方案及其规定职权范围内的其他方案', '制定企业合并、分立、解散等职权规定的方案', '聘任或解聘企业经理，并根据经理提名，聘任或解聘企业副经理、财务负责人，决定其报酬事项', '审议企业内基本制度']"
1-06-01-02,企业经理,在企业中，经董事会或出资人聘任，或经职代会选举，或经上级任命的企业负责人。,"['执行董事会和个人独资、合伙制企业出资人决议或职工代表大会作出的决定', '领导企业日常经营管理工作', '拟定或决定企业内部机构设置', '按公司规定的职权范围，行使人事聘任、解聘或任免权', '决定或议定企业的基本规章制度', '行使相关法律规定的其他职权']"
1-06-01-03,国有企业中国共产党组织负责人,在国有企业中国共产党组织中，担任领导职务的人员。,['负责召集并主持企业党组织会议，组织传达、贯彻落实党和国家的路线、方针、政策以及上级党委的决议，讨论安排党']
1-06-02,事业单位负责人,在教育、科技、文化、卫生等事业单位中，担任领导职务并具有决策、管理职权的人员。,"['制定本单位事业发展规划、工作计划并组织实施', '主持制定本单位的规章制度，并检查制度执行情况', '按规定的职权范围，行使人事聘任、解聘或任免权', '领导本单位日常管理工作', '行使相关法律规定的其他职权']"
1(GBM 10000),党的机关、国家机关、群众团体和社会组织、企事业单位负责人,组织的工作计划并组织实施，依规讨论决定企业重大事项。,"['负责企业党组织的思想、组织、制度、作风和能力建设以及企业领导班子的思想政治建设', '检查企业党组织决议的执行情况，定期向党的委员会和党员大会及上级党委报告工作', '按照法定程序考察、推荐公司中层以上管理人员，支持股东会、董事会、监事会和经营管理者依法行使职权', '领导企业职工代表大会和工会、共青团等群众组织']"
2111,工程师,负责项目的设计、实施及相关技术支持。,"['进行技术可行性研究', '设计与开发新产品', '与其他部门合作解决技术问题']"
2112,信息技术专家,专注于信息技术领域的研究和应用，提供技术支持和解决方案。,"['进行系统分析与设计', '开发和维护软件应用', '培训用户使用信息系统']"
2113,技术支持工程师,为客户提供技术支持和解决方案，确保产品正常运行。,"['解答客户技术问题', '进行产品故障排除', '提供技术培训及文档支持']"
2114,科学研究人员,在科学领域进行研究和实验，推动技术进步。,"['设计和实施实验', '分析和解释数据', '撰写研究报告与论文']"
2115,数据库管理员,负责数据库的管理、维护和安全，确保数据的完整性和安全性。,"['设计和优化数据库结构', '备份和恢复数据', '监控数据库性能，并进行调整']"
2116,网络工程师,设计和维护网络系统，确保网络的高效和安全运行。,"['规划网络架构', '进行网络设备配置和维护', '解决网络故障']"
1-02-04-00,监察机关负责人,在各级监察机关中，担任领导职务并具有决策、管理职权的人员。,[]
1-02-05,人民法院和人民检察院负责人,在最高人民法院、最高人民检察院、地方各级人民法院以及专门人民法院、地方各级人民检察院以及专门人民检察院中，担任领导职务并具有决策、管理职权的人员。,[]
1-02-05-01,人民法院负责人,在最高人民法院、地方各级人民法院以及专门人民法院中，担任领导职务并具有决策、管理职权的人员。,"['领导法院依法独立行使审判权，在参加案件审判时，担任审判长，主持法庭审判。', '领导本级人民法院的审判工作，依法监督下级人民法院的审判工作。', '代表人民法院向同级人民代表大会负责并报告工作。', '院长依法提请任免或任免本级人民法院其他审判人员的法律职务。', '依法审批法官、书记员、司法警察的等级和衔级。', '主持或参加审判委员会会议，讨论决定重大、疑难案件和其他有关审判工作的问题。', '主持或参加法官考评委员会会议，指导对法官的培训、评议和考核。', '主持或参加法院院务委员会，研究决定人民法院贯彻执行党的路线、方针、政策的有关工作和法官队伍管理工作、法院行政与后勤工作。', '履行法律规定的其他职责。']"
1-02-05-02,人民检察院负责人,在最高人民检察院、地方各级人民检察院以及专门人民检察院中，担任领导职务并有决策、管理职权的人员。,"['领导人民检察院依法独立行使检察权，依法履行法律监督职责。', '领导本院检察工作，管理本院行政事务。', '代表人民检察院向同级人民代表大会及其常务委员会负责并报告工作。', '提请本级人民代表大会常务委员会任免本院副检察长、检察委员会委员和检察员，提请本级人民代表大会常务委员会批准下级人民检察院检察长。', '领导检察官开展工作，依法对重大办案事项作出决定。', '主持或参加本院检察委员会会议，列席同级人民法院审判委员会会议。', '主持或参加本院检察官考评委员会会议，领导本院检察官的考核工作。', '履行法律规定的其他职责。']"
1-03,民主党派和工商联负责人,在中国国民党革命委员会、中国民主同盟、中国民主建国会、中国民主促进会、中国农民协会等组织中，担任领导职务并具有决策、管理职权的人员。,[]
GBM 20101,哲学研究人员,从事哲学领域研究的专业人员。,进行哲学理论、历史及应用方面的研究与探讨
GBM 20102,经济学研究人员,从事经济学领域研究的专业人员。,研究经济现象、理论及政策的影响与效果
GBM 20103,法学研究人员,从事法学领域研究的专业人员。,研究法律、法律制度及其社会功能
GBM 20104,教育学研究人员,从事教育学领域研究的专业人员。,研究教育理论、实践以及政策的有效性
GBM 20105,历史学研究人员,从事历史学领域研究的专业人员。,研究历史事件、过程及其影响
GBM 20106,自然科学和地球科学研究人员,从事自然科学及地球科学领域研究的专业人员。,进行科学实验和数据分析，探索自然现象
GBM 20107,农业科学研究人员,从事农业科学领域研究的专业人员。,研究农业生产、技术和资源管理
GBM 20108,医学研究人员,从事医学领域研究的专业人员。,进行医学理论、疾病及其治疗方法的研究
GBM 20109,管理学研究人员,从事管理学领域研究的专业人员。,研究管理理论、实践及其在组织中的应用
GBM 20110,文学、艺术学研究人员,从事文学与艺术领域研究的专业人员。,研究文学作品、艺术形式及其文化意义
GBM 20111,军事学研究人员,从事军事学领域研究的专业人员。,研究军事理论、历史及其社会影响
GBM 20199,其他科学研究人员,从事其他领域科学研究的专业人员。,执行多领域的科学研究工作
2-01-01-00,哲学研究人员,从事自然、社会与思维一般规律研究的专业人员。,"['研究马克思主义哲学原理、马克思主义哲学史、中国马克思主义哲学', '研究中国哲学史和外国哲学史及现代中国哲学和现代外国哲学', '比较研究东西方哲学', '研究逻辑学、伦理学、美学、宗教学、科学技术哲学等', '研究文化问题、价值问题、社会发展问题等']"
2-01-02-00,经济学研究人员,从事经济学理论研究，运用经济学原理和经济规律对经济问题提出解决办法的专业人员。,"['研究商品和劳务的生产、分配、交换和消费及其衍生的市场交易趋势、价格政策、信贷结构、就业、生产力等问题', '收集和分析经济资料，建立数学模型，说明和预测经济行为与经济形态', '研究经济制度、经济发展史、经济思想史和经济学方法论', '研究产业、区域和财政、税收、金融、国际贸易等领域经济问题', '研究物流与配送、电子商务、网上购物等专业领域经济问题', '研究利用数据等新的生产要素推动生产力发展问题']"
2-01-03-00,法学研究人员,从事法学、社会学、纪检监察学等研究的专业人员。,"['研究法学基本原理及立法、执法、司法、守法等理论与实践问题', '研究宪法、刑法、民商法、行政法、经济法、诉讼法、国际法、环境保护法、劳动法等法律', '研究法律思想史和法制史', '研究人类社会的起源、发展、结构、社会模式及其相互关系', '研究党和国家监督体系、党风廉政建设和反腐败的理论、制度和实践']"
2-01-04-00,教育学研究人员,从事教育学、心理学、体育学等理论和实践研究的专业人员。,[]
2-01-04-01,教育学研究人员,从事教育学理论和应用研究的专业人员。,"['研究教育思想、教育规律、教育科学实验方法', '研究教育制度、教育发展战略规划、教育政策法规、教育管理与评估', '收集、整理、分析、研究教育信息，预测教育发展趋势', '进行教育科学应用研究，进行典型试验，推广研究成果，并为政府、学校及有关机构提供教育咨询服务']"
2-01-04-02,心理学研究人员,从事意识与行为的发生、发展、变化规律及其生物学基础，以及人在社会情境中行为规律的理论与应用研究的专业人员。,"['研究意识与行为的发生、发展、变化规律及其生物学基础', '研究整体视角下的人性本质及其差异性', '研究个体和群体在与社会情境互相作用中的心理和行为的发生和变化规律', '研究西方心理学史和中国心理学史，比较研究东西方心理学', '研究心理学理论体系', '研究心理学规律、理论和技术在教育、社会治理、医疗、工业、军事、商业、法律等人类生活领域的应用']"
2-01-04-03,体育学研究人员,从事体育学理论和应用研究的专业人员。,"['研究体育原理、体育思想、体育发展规律、体育基础理论和方法', '研究体育人文社会学、运动人体科学、体育教育训练学、民族传统体育学等本质特征、发展规律的理论和方法', '研究全民健身、竞技体育、体育产业、学校体育和体育文化的理论、政策和实践', '研究各运动项目的理论、政策和实践']"
2-01-05-00,历史学研究人员,从事既往人类活动及自然环境变迁研究的专业人员。,"['运用传世文献、出土文献、考古资料等史料，对人类社会历史和自然历史进行考察', '研究中国史、世界史、史学理论、史学史、各种专业史等', '研究史学发展动态，评论史学著作']"
2-01-06-01,数学研究人员,从事数学理论研究，开发和改进数学方法，运用数学原理和技术解答科学研究、工程设计、计算机应用等领域专门问题的专业人员。,"['研究基础数学、应用数学、计算数学、概率统计、运筹学与控制论和其他数学分支的基础理论', '建立数学模型，假设并检验数学原理，提出和改进数学方法', '运用数学理论和方法，结合领域知识，解答自然科学研究、工程设计、信息技术、管理决策和社会经济等领域的专门问题']"
2-01-06-02,物理学研究人员,从事物质、能量及其相互作用研究的专业人员。,"['研究物质的基本组分、性质和构造、能量的转换和传递以及力、热、光、声、电磁、分子、原子、原子核、强子、基本粒子等物理现象', '研究物理定律和原理在工业、医疗、军事以及其他方面的实际应用', '应用数学原理分析和研究物理现象，并以数学语言作出结论', '说明结论同已知物理定律的关系，或提出新的理论、概念和定律，解释结论']"
2-01-06-03,化学研究人员,从事有机化学、无机化学、物理化学、分析化学、生物化学、核化学、化学物理学、高分子化学、药物化学、化学工程学等理论研究与应用研究的专业人员。,"['研究物质的构成、性质、相互作用及其对光、热、压力等因素变化的反应', '应用已知的化学原理、方法和技术，开发新产品和新生产方法']"
2-01-06-04,天文学研究人员,从事宇宙学、银河系和其他星系、太阳和其他恒星、行星、卫星等天文对象研究的专业人员。,"['研究卫星、行星、恒星、星系乃至宇宙各层次天体的运动变化、内部结构、物理状态、化学组成、能量来源以及演化规律，利用和发展相关理论，深化对宇宙的理解', '研究天文技术与方法，研制地面和空间天文设备', '在卫星测定轨、空间天气学等领域，从事应用天文基础和核心技术研究']"
2-01-06-05,生物学研究人员,从事生命现象和生命过程的理论研究及应用研究的专业人员。,[]
2-01-06-06,地球科学研究人员,从事地球科学理论与应用研究的专业人员。,[]
2-01-06-06,地球科学研究人员,从事地球物理、地球化学、地质学、地理科学、环境科学、生态科学、海洋科学、大气科学等研究的专业人员。,"['研究地球内部结构、组成与状态，揭示地球的形成和演化规律。', '观察并测量地震、地球引力、地电、地热、地磁、太阳风、电离层、中高层大气等现象，研究日地空间的结构和演化，探讨空间环境和空间天气过程。', '测试和分析地球及其他星球的化学组成，研究地球和其他星球的演化与物质循环。', '检验岩石、矿物和化石，鉴定地球生命的起源和环境的协同演化，研究地球各圈层之间相互作用及人类活动影响。', '研究地球科学相关观测、试验和测试分析技术。', '开展自然地理学、人文地理学、地图学与地理信息系统，以及自然资源学、生态学、环境科学研究，开展相关技术的应用与发展。']"
2-01-07-00,农业科学研究人员,从事农业发展自然规律和经济规律研究的专业人员。,"['研究农作物的生理、栽培、育种、土肥、植保技术及耕作制度。', '研究畜禽和水产养殖、新品种引进与培育、疫病防控、饲料配方设计与制作等技术。', '研究农、林、牧、渔业产品的储藏与加工利用技术。', '研制农、林、牧、渔业机具及改良应用技术。', '研究农田节水灌溉技术。', '研究沙漠化防治和荒漠化治理，以及山区、沙区、湿地等综合开发技术。', '研究畜牧兽医理论与技术。', '研究农业生态、环境保护及农村能源开发与利用。', '研究农、林、牧、渔业品种资源保护和利用技术。', '研究农、林、牧、渔业区划和资源调查、规划设计、监测评价和可持续发展的理论、技术与方法。', '研究农、林、牧、渔业科技管理，农林经济与农林生产经营管理。']"
2-01-08,医学研究人员,从事基础医学、临床医学、预防医学等相关领域的研究的专业人员。,[]
2-01-08-00,医学研究人员,从事基础医学、临床医学、预防医学、口腔医学、特种医学、药学以及中国传统医药学、中西医结合研究的专业人员。,"['研究人体的结构与功能及其疾病与健康相互转化的规律。', '研究疾病的诊断、治疗与康复的新技术和新方法。', '研究防止致病因子发生、发展，阻断致病因子传播，提高易感人群及个体致病因子的抵御与免疫能力的新技术和新方法。', '研究口腔卫生保健及口腔疾病诊断、治疗的新技术和新方法。', '研究运动、潜水、航空航天等特殊条件下的医学问题。', '研究药物成分、结构、生物活性。', '研究与发展中医药学、民族医药学。', '研究中西医结合的理论与相关技术方法。']"
2-01-09-00,管理学研究人员,从事社会各类组织及其活动管理的资源、环境、战略和机制的理论与方法研究的专业人员。,"['研究管理哲学、组织理论和行为科学。', '研究管理科学、信息管理和信息系统、工业工程、工程项目管理等理论与方法。', '研究生产管理、市场营销管理、人力资源管理、研发管理、财务管理及会计学、旅游管理和体育管理等理论与方法。', '研究行政管理、公共事业管理、劳动与社会保障、土地资源管理等理论与方法。', '研究宏观经济、部门经济及区域经济管理等理论与方法。', '研究医疗健康、公共卫生、人口劳动力管理等理论与方法。']"
2-01-10-00,文学、艺术学研究人员,从事文学、艺术学、文艺美学、图书馆学、情报学和新闻学等研究的专业人员。,"['研究有关文学、艺术学、文艺美学、图书馆学、情报学和新闻学的本质、特征、发展规律及原理、原则。', '研究文学、艺术学、文艺美学、图书馆学、情报学和新闻学的历史现象及其发展。']"
2-01-11-00,军事学研究人员,从事军事理论科学和军事技术科学研究与应用的专业人员。,"['研究战争指导和军队建设的规律和方法。', '研究战争观和战争与军事问题的方法论、战争指导思想。', '研究现代各种武器装备的研制、生产、使用和维修保养等技术，以及军事工程和军事系统工程。', '运用军事理论科学和军事技术科学指导战争的准备和实施。']"
2-01-99,其他科学研究人员,指未列入2-01-01至2-01-11的科学研究人员。,[]
2-02,工程技术人员,从事矿物勘探和开采，产品开发和设计、制造，建筑、交通、通信及其他工程规划、设计，组织和指导施工的技术人员。,[]
2-02-01,地质勘探工程技术人员,,[]
2-02-02,测绘和地理信息工程技术人员,,[]
2-02-03,矿山工程技术人员,,[]
2-02-04,石油天然气工程技术人员,,[]
2-02-05,冶金工程技术人员,,[]
2-02-06,化工工程技术人员,,[]
2-02-07,机械工程技术人员,,[]
2-02-08,航空工程技术人员,,[]
2-02-09,电子工程技术人员,,[]
2-02-10,信息和通信工程技术人员,,[]
2-02-11,电气工程技术人员,,[]
2-02-12,电力工程技术人员,,[]
2-02-13,邮政和快递工程技术人员,,[]
2-02-14,广播电影电视及演艺设备工程技术人员,,[]
2-02-15,道路和水上运输工程技术人员,,[]
2-02-16,民用航空工程技术人员,,[]
2-02-17,铁道工程技术人员,,
2-02-18,建筑工程技术人员,,
2-02-19,建材工程技术人员,,
2-02-20,林草工程技术人员,,
2-02-21,水利工程技术人员,,
2-02-22,海洋工程技术人员,,
2-02-23,纺织服装工程技术人员,,
2-02-24,食品工程技术人员,,
2-02-25,气象工程技术人员,,
2-02-26,地震工程技术人员,,
2-02-27,环境保护工程技术人员,,
2-02-28,安全工程技术人员,,
2-02-29,标准化、计量、质量和认证认可工程技术人员,,
2-02-30,管理(工业)工程技术人员,,
2-02-31,检验检疫工程技术人员,,
2-02-32,制药工程技术人员,,
2-02-33,印刷复制工程技术人员,,
2-02-34,工业(产品)设计工程技术人员,,
2-02-35,康复辅具工程技术人员,,
2-02-36,轻工工程技术人员,,
2-02-37,国土空间规划与生态修复工程技术人员,,
2-02-38,数字技术工程技术人员,,
2-02-99,其他工程技术人员,,
2-02-01,地质勘探工程技术人员,从事探测地球的内部结构、组成、构造特征和地层分布，绘制地质图件，确定石油、天然气、煤及其他金属与非金属矿床位置、储量及开发价值的工程技术人员。,
2-02-01-01,地质实验测试工程技术人员,从事地质样品成分、组成、结构、物理化学性能实验测试和技术方法研究的工程技术人员。,进行地质样品采集、制备及化学成分等实验。
2-02-01-02,地球物理地球化学与遥感勘查工程技术人员,,
2-02-01-03,水工环地质工程技术人员,,
2-02-01-04,地质矿产调查工程技术人员,,
2-02-01-05,钻探工程技术人员,,
2-02-01-01,地质实验测试工程技术人员,从事地质样品的物质组成、结构、物理化学性能、放射性和同位素地球化学实验测试，岩石矿物的选冶与综合利用，以及相关的技术标准与咨询服务。,"['分实验测试', '进行地质样品物质组成、结构、物理化学性能实验测试', '进行地质样品放射性和同位素地球化学实验测试', '进行岩石矿物选冶、综合利用试验', '编制地质实验测试相关技术和质量标准、规程', '提供地质实验测试技术咨询服务']"
2-02-01-02,地球物理地球化学与遥感勘查工程技术人员,运用地球物理、地球化学、遥感勘查方法，进行空中、地面、地下、海洋目标体的调查、评价和研究。,"['运用重力、磁法、电法、地震、放射性、地温等地球物理方法，岩石、土壤、水系沉积物、气体等地球化学方法，航空航天多光谱、高光谱、微波等遥感方法采集目标体特征信息', '测试、分析岩(矿) 石、土壤、气体等目标体物理性质、化学性质和波普特征，查证异常信息', '处理、分析和解释获取的采集数据', '编写调查、评价与研究报告，编制综合图件', '研究、开发、应用物化遥软件', '研制、使用、维护、维修物化遥设备、仪器', '编制物化遥相关技术和质量标准、规程', '提供物化遥技术咨询服务']"
2-02-01-03,水工环地质工程技术人员,从事水文地质、工程地质、环境地质勘查、监测与评价，以及地质灾害勘查、监测、评估、治理的工程技术人员。,"['进行区域水文地质调查、矿区水文地质勘查和评价，进行地下水、地热、卤水、矿泉水等资源的勘查、评价，进行地下水动态监测与评价', '进行区域工程地质调查和城镇规划与建设工程、工程建设场地等勘查、评价', '进行环境地质调查、监测与评价', '进行地质灾害勘查、监测、评估、治理', '编制水文地质、工程地质、环境地质技术与质量标准、规范', '提供水工环地质技术咨询服务']"
2-02-01-04,地质矿产调查工程技术人员,从事陆域、海域、极地地质调查，矿产地质调查和矿产资源勘查、评价，以及基础地质研究的工程技术人员。,"['进行地质填图、地质编录、地质剖面测量', '进行地质调查资料处理、样品测试数据分析、资料综合解释', '进行基础地质问题研究、成矿规律研究', '进行矿产资源预查、普查、详查、勘探等，确定矿床类型、分布及储量，评价其开采价值，设计矿床开发方案', '编制综合图件，编写成果报告', '编制地质矿产相关技术和质量标准、规程', '提供地质矿产调查技术咨询服务']"
2-02-01-05,钻探工程技术人员,从事地质矿产钻探和岩土钻探技术研究、设计和指导施工的工程技术人员。,"['研究、应用钻探新工艺、新技术、新方法', '进行地质矿产钻探和岩土钻探工程设计并指导施工', '进行钻探生产和安全技术管理', '研究、设计、开发地质矿产钻探和岩土钻探机具与仪器', '编制地质矿产钻探和岩土钻探工程技术标准、规范、规程', '进行地质矿产钻探和岩土钻探工程成果检查和验收', '提供钻探技术咨询服务']"
2-02-02,测绘和地理信息工程技术人员,从事地球整体及其表面和外层空间中的自然和人造物体与空间分布有关的信息采集、处理、存储、分析、管理、更新及利用的工程技术人员。,[]
2-02-02-01,大地测量工程技术人员,从事地球及其他星球的形状、大小、重力场、整体与局部运动、地表点及近地空间运动物体位置确定，设计、构建测量基准与控制网的工程技术人员。,"['确定地球形状、大小、重力场以及整体与局部运动，监测其随时间的变化', '建立平面、高程、重力控制网并进行动态监测及维护', '运用人造地球卫星及空间大地测量观测技术和方法，进行大地测量和数据处理', '测量其他行星的形状及重力场，建立测量基准和控制网', '进行大地测量成果检查与验收']"
2-02-02-02,工程测量工程技术人员,从事工程建设测量和地籍、行政区域、房产测绘的工程技术人员。,"['设计并组织实施控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理', '制订地籍调查工作流程，指导作业人员进行地籍调查、土地界址点测定、地籍图绘制、土地面积计算']"
